,brand,date,difference,image,link,price,size,title,length
0,J. Crew,2019-09-06,236,https://di2ponv0v5otw.cloudfront.net/posts/2019/09/06/5d724c5608fc57186a90dbfe/s_5d724c5f186c5089a5988ed5.jpeg,http://www.poshmark.com/listing/J-Crew-770-Dark-Wash-Slim-Straight-Jeans-W29-5d724c5608fc57186a90dbfe,45,29,J Crew 770 Dark Wash Slim Straight Jeans W29,44
1,J. Crew,2020-03-04,56,https://di2ponv0v5otw.cloudfront.net/posts/2020/03/04/5e602f67ffc2d4df56b2894e/s_5e7e4e1d6f6c91f16c21a48b.jpg,http://www.poshmark.com/listing/J-Crew-Blue-Jeans-5e602f67ffc2d4df56b2894e,25,31,J. Crew Blue Jeans,18
2,J. Crew,2020-03-20,40,https://di2ponv0v5otw.cloudfront.net/posts/2020/03/20/5e751a391153bac1b88825ec/s_5e751a70adb58db90de3005a.jpg,http://www.poshmark.com/listing/Mens-JCrew-770-Straightfit-jeans-34W-32L-5e751a391153bac1b88825ec,18,34,Mens J.Crew 770 Straight-fit jeans 34W 32L,42
3,J. Crew,2019-12-04,147,https://di2ponv0v5otw.cloudfront.net/posts/2019/12/04/5de89546de696a20b6eeda95/s_5de896b48d6f1a71c4cdb241.jpg,http://www.poshmark.com/listing/J-Crew-Slim-Fit-Jean-in-Stretch-Resin-Rinse-3130-5de89546de696a20b6eeda95,49,31,J Crew Slim Fit Jean in Stretch Resin Rinse 31/30,49
4,J. Crew,2020-01-31,89,https://di2ponv0v5otw.cloudfront.net/posts/2020/01/31/5e349876abe1ce95a40209d2/s_5e34988e216968b1b7a72435.jpg,http://www.poshmark.com/listing/JCrew-The-Sutton-Jeans-5e349876abe1ce95a40209d2,25,,J.Crew The Sutton Jeans,23
5,J. Crew,2020-03-18,42,https://di2ponv0v5otw.cloudfront.net/posts/2020/03/18/5e7274baaa7ed38ff1f7252d/s_5e7274cc08d2c2fc9754cc0b.jpg,http://www.poshmark.com/listing/J-Crew-Style-770-Jeans-5e7274baaa7ed38ff1f7252d,25,36,J. Crew Style 770 Jeans,23
6,J. Crew,2019-10-13,199,https://di2ponv0v5otw.cloudfront.net/posts/2019/10/13/5da37cbfe377538395448744/s_5e94a7702ca9ab93f2f2bfdf.jpg,http://www.poshmark.com/listing/J-Crew-Dark-Wash-Straight-Blue-Jeans-Size-32-5da37cbfe377538395448744,12,32,J Crew Dark Wash Straight Blue Jeans Size 32,44
7,J. Crew,2020-03-01,59,https://di2ponv0v5otw.cloudfront.net/posts/2020/03/01/5e5cb367ffc2d49c7eac8394/s_5e5cb3af93b46a7fc1d6250d.jpg,http://www.poshmark.com/listing/J-Crew-Slim-Fit-Mens-Jeans-Sz-W32xL32-5e5cb367ffc2d49c7eac8394,25,32,J. Crew Slim Fit Men's Jeans Sz. W32xL32,40
8,J. Crew,2019-12-01,150,https://di2ponv0v5otw.cloudfront.net/posts/2019/12/01/5de44b64fe19c76fa53998dc/s_5de44be79ed36dbaeedaf30e.jpg,http://www.poshmark.com/listing/JCrew-Mens-Jeans-5de44b64fe19c76fa53998dc,30,,JCrew Men’s Jeans,17
9,J. Crew,2020-04-27,2,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/27/5ea6c35cce1e87544e3b9f2d/s_5ea6c3747f80d204caf60b28.jpg,http://www.poshmark.com/listing/J-Crew-Medium-Wash-Jeans-Size-34-5ea6c35cce1e87544e3b9f2d,40,34,J Crew Medium Wash Jeans Size 34,32
10,J. Crew,2020-04-24,5,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/24/5ea2dfce045e396c61b5844e/s_5ea2dfe8045e39cfd1b584c8.jpg,http://www.poshmark.com/listing/J-Crew-Vintage-Blue-Jeans-Size-33-X-30-5ea2dfce045e396c61b5844e,28,33,J Crew Vintage Blue Jeans Size 33 X 30,38
11,J. Crew,2020-04-01,28,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/01/5e84a68509d760ffda4a5096/s_5e84a696180136d151cebe84.jpg,http://www.poshmark.com/listing/J-Crew-Blue-Straight-Leg-Jeans-5e84a68509d760ffda4a5096,25,30,J Crew Blue  Straight Leg Jeans,31
12,J. Crew,2020-04-21,8,https://di2ponv0v5otw.cloudfront.net/posts/2020/04/21/5e9f3c5bc693bded09e038a7/s_5e9f3c68e97e48a985cfbf86.jpg,http://www.poshmark.com/listing/Beige-484-JCrew-Jeans-29-x-32-5e9f3c5bc693bded09e038a7,13,29,Beige 484 JCrew Jeans 29 x 32,29
13,J. Crew,2019-08-25,248,https://di2ponv0v5otw.cloudfront.net/posts/2019/08/25/5d62a07f0c5e3bdb8537cc5e/s_5d62a081a3f29dd96fd87bd3.jpeg,http://www.poshmark.com/listing/J-CREW-The-Driggs-30-x-30-Selvedge-Denim-Jeans-5d62a07f0c5e3bdb8537cc5e,55,30,J. CREW The Driggs 30 x 30 Selvedge Denim Jeans,47
14,J. Crew,2019-11-15,166,https://di2ponv0v5otw.cloudfront.net/posts/2019/11/15/5dceb8d580afe12c5e224890/s_5dceb8d879df2762daea7e4f.jpeg,http://www.poshmark.com/listing/J-CREW-The-Driggs-34-x-34-Button-Fly-100-Cotton-5dceb8d580afe12c5e224890,39,34,J. CREW The Driggs 34 x 34 Button Fly 100% Cotton,49
15,J. Crew,2019-11-03,178,https://di2ponv0v5otw.cloudfront.net/posts/2019/11/03/5dbefe2e138e18862e80acd6/s_5dbefe5b1153ba2062a86768.jpg,http://www.poshmark.com/listing/J-Crew-Vintage-Slim-30W-X-30L-Mens-Jeans-5dbefe2e138e18862e80acd6,35,30,J Crew Vintage Slim 30W X 30L Men's Jeans,41
16,J. Crew,2019-05-24,341,https://di2ponv0v5otw.cloudfront.net/posts/2019/05/24/5ce7d0f250177f69e9b9c66b/s_5e7b5f68a20dfc43eb9a4323.jpg,http://www.poshmark.com/listing/J-Crew-Mens-Vintage-Slim-Mid-Rise-Jeans-Sz-32x31-5ce7d0f250177f69e9b9c66b,25,32,J Crew Mens Vintage Slim Mid Rise Jeans Sz 32x31,48
17,J. Crew,2019-05-08,357,https://di2ponv0v5otw.cloudfront.net/posts/2019/05/08/5cd30e8816105dc507da9181/s_5cd311fe29f0300061d7aeb4.jpg,http://www.poshmark.com/listing/EUC-J-Crew-straight-leg-blue-jeans-32x32-5cd30e8816105dc507da9181,18,32,EUC J. Crew straight leg blue jeans 32x32,41
